CustomerID,InvoiceNo,InvoiceDate,Quantity,UnitPrice,Country,StockCode,Description
1001.0,10001,2025-09-24,1,5.5,Germany,P028,Product 28
1001.0,10001,2025-09-24,8,28.67,United Kingdom,P010,Product 10
1001.0,10002,2025-08-04,5,46.21,United Kingdom,P021,Product 21
1001.0,10003,2025-06-22,6,49.9,France,P014,Product 14
1001.0,10003,2025-06-22,1,5.5,United Kingdom,P028,Product 28
1001.0,10003,2025-06-22,7,50.17,France,P019,Product 19
1001.0,10004,2025-07-30,2,10.3,France,P009,Product 9
1001.0,10004,2025-07-30,2,24.14,France,P011,Product 11
1001.0,10004,2025-07-30,1,29.6,France,P027,Product 27
1001.0,10004,2025-07-30,8,58.33,France,P023,Product 23
1001.0,10005,2025-09-09,6,46.21,Germany,P021,Product 21
1001.0,10005,2025-09-09,5,10.3,Germany,P009,Product 9
1001.0,10006,2025-05-19,2,47.81,Germany,P008,Product 8
1001.0,10007,2025-09-10,6,34.61,Germany,P017,Product 17
1001.0,10007,2025-09-10,6,47.37,Germany,P025,Product 25
1001.0,10007,2025-09-10,1,49.9,Germany,P014,Product 14
1001.0,10008,2025-10-03,4,47.12,France,P001,Product 1
1001.0,10008,2025-10-03,2,6.64,United Kingdom,P018,Product 18
1001.0,10009,2025-07-25,9,47.12,United Kingdom,P001,Product 1
1001.0,10009,2025-07-25,4,47.37,Germany,P025,Product 25
1001.0,10009,2025-07-25,2,46.38,Germany,P007,Product 7
1001.0,10009,2025-07-25,5,53.91,France,P024,Product 24
1001.0,10010,2025-11-08,2,11.79,Germany,P029,Product 29
1001.0,10010,2025-11-08,1,55.83,United Kingdom,P012,Product 12
1001.0,10010,2025-11-08,1,39.7,France,P013,Product 13
1001.0,10011,2025-09-20,9,39.7,United Kingdom,P013,Product 13
1001.0,10011,2025-09-20,5,46.21,France,P021,Product 21
1001.0,10011,2025-09-20,5,8.37,Germany,P005,Product 5
1001.0,10012,2025-06-11,6,46.38,Germany,P007,Product 7
1001.0,10012,2025-06-11,4,28.67,France,P010,Product 10
1002.0,10013,2024-04-18,9,28.27,United Kingdom,P015,Product 15
1002.0,10013,2024-04-18,8,46.21,United Kingdom,P021,Product 21
1002.0,10013,2024-04-18,7,28.67,France,P010,Product 10
